Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1626769880,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.500000,0.000000,5,6,6,6,18,18,18,18,18,18,18,9,0,5.15741699928185,6.944420999692132,5.15741699928185,18.496765000236337,1554.0
1626769880,6,GET,/displayPoints,0.500000,0.000000,5,5,5,5,11,11,11,11,11,11,11,9,0,5,5.780159888672642,4.607123999448959,10.95516599889379,2035.111111111111
1626769880,6,GET,/logout,0.400000,0.000000,13,13,13,13,14,14,14,14,14,14,14,9,0,13,12.732521444882472,11.967164000452613,14.36322100016696,1220.0
1626769880,6,POST,/purchasePlaces,0.100000,0.000000,7,7,7,7,20,20,20,20,20,20,20,9,0,7,8.259645666435567,5.8531419999781065,20.315867999670445,2180.4444444444443
1626769880,6,POST,/showSummary,0.100000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769880,6,,Aggregated,1.900000,0.000000,6,7,12,12,13,14,20,20,20,20,20,47,0,6,8.068252680730323,4.607123999448959,20.315867999670445,1741.6170212765958
1626769881,6,GET,/,0.300000,0.000000,6,6,6,6,12,12,12,12,12,12,12,6,0,6,6.748846332811809,5.111711998324608,12.470267998651252,1040.0
1626769881,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.500000,0.000000,6,6,6,6,18,18,18,18,18,18,18,10,0,5.15741699928185,6.817478699849744,5.15741699928185,18.496765000236337,1554.0
1626769881,6,GET,/displayPoints,0.400000,0.000000,5,5,5,5,11,11,11,11,11,11,11,9,0,5,5.780159888672642,4.607123999448959,10.95516599889379,2035.111111111111
1626769881,6,GET,/logout,0.200000,0.000000,13,13,13,13,13,14,14,14,14,14,14,11,0,13,12.718751727582209,11.967164000452613,14.36322100016696,1220.0
1626769881,6,POST,/purchasePlaces,0.100000,0.000000,7,7,7,7,20,20,20,20,20,20,20,9,0,7,8.259645666435567,5.8531419999781065,20.315867999670445,2180.4444444444443
1626769881,6,POST,/showSummary,0.100000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769881,6,,Aggregated,1.600000,0.000000,7,7,12,12,13,14,20,20,20,20,20,50,0,6,8.203928999901109,4.607123999448959,20.315867999670445,1717.0
1626769882,6,GET,/,0.200000,0.000000,6,6,6,6,12,12,12,12,12,12,12,6,0,6,6.748846332811809,5.111711998324608,12.470267998651252,1040.0
1626769882,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.500000,0.000000,6,6,6,6,18,18,18,18,18,18,18,10,0,5.15741699928185,6.817478699849744,5.15741699928185,18.496765000236337,1554.0
1626769882,6,GET,/displayPoints,0.400000,0.000000,5,5,5,5,11,11,11,11,11,11,11,10,0,5,5.714405999788141,4.607123999448959,10.95516599889379,2035.1
1626769882,6,GET,/logout,0.200000,0.000000,13,13,13,13,13,14,14,14,14,14,14,12,0,12,12.677493667069939,11.967164000452613,14.36322100016696,1220.0
1626769882,6,POST,/purchasePlaces,0.200000,0.000000,7,7,7,7,20,20,20,20,20,20,20,9,0,7,8.259645666435567,5.8531419999781065,20.315867999670445,2180.4444444444443
1626769882,6,POST,/showSummary,0.100000,0.000000,7,7,7,7,7,7,7,7,7,7,7,6,0,7,7.100908499827104,6.886881999889738,7.341384998653666,2542.0
1626769882,6,,Aggregated,1.600000,0.000000,7,7,12,12,13,14,18,20,20,20,20,53,0,7,8.205360584810787,4.607123999448959,20.315867999670445,1729.188679245283
1626769883,6,GET,/,0.200000,0.000000,6,6,6,6,12,12,12,12,12,12,12,8,0,6,6.370573249569134,4.917235999528202,12.470267998651252,1040.0
1626769883,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.600000,0.000000,6,6,6,6,18,18,18,18,18,18,18,10,0,5.15741699928185,6.817478699849744,5.15741699928185,18.496765000236337,1554.0
1626769883,6,GET,/displayPoints,0.400000,0.000000,5,5,5,5,11,11,11,11,11,11,11,10,0,5,5.714405999788141,4.607123999448959,10.95516599889379,2035.1
